,Country,Continent,Region,Development,total immigration,1980s immigration,1990s immigration,2000s immigration
95,Latvia,Europe,Northern Europe,Developed regions,2326.0,1.0,686.0,1051.0
96,Lebanon,Asia,Western Asia,Developing regions,115359.0,24918.0,49245.0,30906.0
97,Lesotho,Africa,Southern Africa,Developing regions,107.0,32.0,37.0,24.0
98,Liberia,Africa,Western Africa,Developing regions,2759.0,31.0,384.0,1979.0
99,Libya,Africa,Northern Africa,Developing regions,4909.0,310.0,1051.0,2258.0
100,Liechtenstein,Europe,Western Europe,Developed regions,40.0,13.0,18.0,6.0
101,Lithuania,Europe,Northern Europe,Developed regions,2414.0,5.0,680.0,1398.0
102,Luxembourg,Europe,Western Europe,Developed regions,215.0,49.0,53.0,81.0
103,Madagascar,Africa,Eastern Africa,Developing regions,2194.0,240.0,373.0,861.0
104,Malawi,Africa,Eastern Africa,Developing regions,294.0,36.0,85.0,110.0
105,Malaysia,Asia,South-Eastern Asia,Developing regions,24417.0,9281.0,8172.0,5191.0
106,Maldives,Asia,Southern Asia,Developing regions,30.0,1.0,7.0,13.0
107,Mali,Africa,Western Africa,Developing regions,2188.0,44.0,422.0,1016.0
108,Malta,Europe,Southern Europe,Developed regions,1546.0,1111.0,193.0,204.0
109,Marshall Islands,Oceania,Micronesia,Developing regions,2.0,0.0,0.0,2.0
110,Mauritania,Africa,Western Africa,Developing regions,1016.0,27.0,71.0,656.0
111,Mauritius,Africa,Eastern Africa,Developing regions,15690.0,3292.0,2286.0,5509.0
112,Mexico,Latin America and the Caribbean,Central America,Developing regions,58712.0,6131.0,12170.0,24376.0
113,Monaco,Europe,Western Europe,Developed regions,29.0,3.0,9.0,8.0
114,Mongolia,Asia,Eastern Asia,Developing regions,952.0,0.0,15.0,498.0
115,Montenegro,Europe,Southern Europe,Developed regions,105.0,0.0,0.0,37.0
116,Morocco,Africa,Northern Africa,Developing regions,72267.0,4792.0,11695.0,38000.0
117,Mozambique,Africa,Eastern Africa,Developing regions,160.0,27.0,50.0,57.0
